i,real_index,MAE,Phi,SMI
289,5415,0.16361955,83.63804461,CC(F)C(O)CO
290,4174,0.21872224,78.12777623,CN(NC=O)C=N
291,1115,0.26828339,73.17166088,CNC(=N)CO
292,1471,0.25860852,74.13914770,Oc1ccon1
293,8391,0.20952374,79.04762585,Cc1nnnn1N
294,6479,0.20071721,79.92827879,CC(F)C1(C)CN1
295,8402,0.30000505,69.99949504,FC1=CN=CC1=O
296,8621,0.19952905,80.04709483,CC1C(O)CN1C
297,8636,0.18993108,81.00689171,CC1NC(=O)C1F
298,8595,0.23908750,76.09124963,NC1CC(N)C1O
299,5008,0.23352258,76.64774203,CCC(=C)C#CC
300,1876,0.29911862,70.08813791,CC#CCCF
301,2912,0.20091847,79.90815264,CC(O)CCC#N
302,7800,0.32388645,67.61135468,Oc1cncnc1
303,1265,0.25637125,74.36287546,COC(C)=NO
304,4801,0.22800124,77.19987616,OC(C=CF)C#N
305,7721,0.18170999,81.82900054,FC1=CCOCC1
306,2438,0.19911726,80.08827384,CC(O)C(F)(F)F
307,6616,0.19132932,80.86706812,N=c1[nH][nH]c(=O)[nH
308,5888,0.17252279,82.74772119,COC(=N)N(C)O
309,5515,0.18528651,81.47134893,CC(F)C(C)C#C
310,7763,0.26360235,73.63976524,CC1=COC=CC1
311,5401,0.17573911,82.42608863,CCC(O)C(C)C
312,4132,0.16940322,83.05967796,FC(CC=C)C=O
313,8414,0.36155134,63.84486621,CC1=CCC=C1C
314,928,0.19606198,80.39380242,CCC(C)CF
315,8503,0.22629577,77.37042302,Oc1nn[nH]c1O
316,2186,0.28782404,71.21759585,FC1CC1C#C
317,2245,0.39699158,60.30084228,C1OCOCO1
318,7817,0.37954720,62.04527986,Cc1cncnn1
319,6181,0.20355582,79.64441794,CC(F)=C(F)CF
320,1923,0.20121699,79.87830077,CON=CCF
321,6632,0.31260424,68.73957566,N=c1[nH]oc(=O)o1
322,3071,0.19944408,80.05559214,NC(=O)CCC=O
323,814,0.21824427,78.17557310,CC(F)C(N)=N
324,6896,0.18397253,81.60274735,CN1CCC(C)=N1
325,8320,0.18937303,81.06269680,Nn1cccc1F
326,8602,0.18797790,81.20221006,CC1CC(N)C1F
327,3692,0.20491508,79.50849204,CC1(C)OC1CO
328,5708,0.23170687,76.82931327,CN(C=O)C(C)=C
329,7161,0.32111703,67.88829714,OC12CC(C1)C=C2
330,4863,0.20121637,79.87836299,CC=NN(C)C=N
331,5500,0.20870962,79.12903779,CC(C=C)N(C)C
332,8088,0.23667935,76.33206522,Cn1ocnc1=N
333,4221,0.26281776,73.71822417,CCOC(C)C#C
334,4172,0.22789642,77.21035820,CN(CC#N)N=C
335,5746,0.18539843,81.46015718,NC(=O)N(O)C=C
336,3821,0.16525520,83.47447974,CC(CF)CCN
337,2310,0.31866713,68.13328674,C1CC1C2CN2
338,6666,0.23773988,76.22601238,CN1CC(=O)N=C1
339,7302,0.23681138,76.31886181,NC(=O)CC1CC1
340,4119,0.18194350,81.80564989,NC(CC=C)C=C
341,4746,0.20121152,79.87884769,CCC(N)C=NO
342,2041,0.26964348,73.03565159,O=CC1COC1
343,2315,0.42266877,57.73312285,C1CC1N2CC2
344,4536,0.18343081,81.65691947,FCC(=O)CC#C
345,4880,0.19539514,80.46048570,CCC(=C)C=CC
346,1321,0.23048564,76.95143582,CC1CCC1F
347,1751,0.22732559,77.26744053,CCNCC#C
348,4807,0.23461047,76.53895346,FC=CC(F)C#N
349,1512,0.31123733,68.87626730,Cn1cnnn1
350,8135,0.23322424,76.67757630,FC1C=NOC1=O
351,1363,0.21472083,78.52791718,OC1CCOC1
352,482,0.23133017,76.86698318,CCC(C)(F)F
353,4298,0.17119893,82.88010667,NNC(=O)CCF
354,986,0.23057485,76.94251499,NCC(N)C=C
355,3760,0.20242523,79.75747734,CC1C(F)C1(C)C
356,1196,0.24338629,75.66137128,COC(=O)C=O
357,7813,0.23575419,76.42458071,Cc1cnccn1
358,153,0.29424530,70.57546992,CC(F)C#N
359,2654,0.29483045,70.51695483,CC1(C)CC(=O)C1
360,6386,0.17014063,82.98593736,CC1(CF)CC1F
361,7812,0.26528620,73.47138008,Fc1ccnnn1
362,285,0.24395279,75.60472054,NCCCO
363,229,0.41182262,58.81773844,NC(=O)C#C
364,1825,0.29451966,70.54803354,CCOC=CC
365,8286,0.24555029,75.44497065,Cc1nonc1N
366,2810,0.29362665,70.63733520,CC(C)(C=C)C#N
367,7284,0.22584951,77.41504911,CC(O)CC1CN1
368,4913,0.19007143,80.99285710,CC=CC(=N)NO
369,5573,0.17811869,82.18813050,NCC(N)C(F)=C
370,1416,0.32473203,67.52679698,N=c1[nH]cc[nH]1
371,4812,0.20789696,79.21030404,NC(C=C)C=NO
372,661,0.26314834,73.68516580,CC(=N)NN=C
373,7724,0.15817018,84.18298227,CC1=CCCNC1
374,6519,0.19776884,80.22311585,CC1COC(C)C1
375,724,0.24536296,75.46370416,CC(=C)C=NO
376,7574,0.20314633,79.68536691,CN1OCCN=C1
377,6480,0.17988928,82.01107189,CC1(CN1)C(F)F
378,7677,0.23894574,76.10542648,O=c1nncno1
379,6334,0.16763877,83.23612344,CC1(CCN)CC1
380,4907,0.19418193,80.58180708,CNC(=N)C=CC
381,822,0.33191269,66.80873095,OC(=O)C(F)F
382,5551,0.20026758,79.97324176,CC(CF)C(O)=O
383,3548,0.18577046,81.42295450,CCOC=C(C)C
384,798,0.18175245,81.82475484,CC(C)C(N)=O
385,8476,0.20426775,79.57322456,Oc1cc[nH]c1O
386,880,0.25096050,74.90395037,CC1CC1(C)C
387,6715,0.34079274,65.92072602,C=C1OC(=C)C=C1
388,3525,0.28509190,71.49081043,CC(=O)C#CC#C
389,522,0.17821623,82.17837719,CCCC(C)O
390,5125,0.66909566,33.09043446,CC(CC#C)=NN
